series_id,series_title,group_id,imprint_id
1,New Fun Comics,1,
2,New Comics,1,
3,More Fun Comics,1,
4,The Comics Magazine,1,
5,New Adventure Comics,1,
6,Detective Comics,4,
7,Adventure Comics,1,
8,Action Comics,3,
9,Mystery Men Comics,1,
10,All-American Comics,1,
11,Superman,3,
12,Blue Beetle,10,
13,Flash Comics,6,
14,Whiz Comics,1,
15,All-Star Comics,1,
16,Batman,4,
17,All-Flash,6,
18,Leading Comics,1,
19,Star-Spangled Comics,1,
20,Captain Marvel Adventures,12,
21,Police Comics,1,
22,World's Finest,2,
23,Green Lantern,7,
24,Boy Commandos,18,
25,Sensation Comics,1,
26,"Captain Marvel, Jr.",12,
27,Comic Cavalcade,1,
28,Wonder Woman,5,
29,Plastic Man,15,
30,The Big All-American Comic Book,1,
31,Hoppy the Marvel Bunny,12,
32,Mary Marvel,12,
33,The Marvel Family,12,
34,Superboy,3,
35,Strange Adventures,1,
36,Mystery in Space,1,
37,House of Mystery,1,
38,"Superman's Pal, Jimmy Olsen",3,
39,The Brave and the Bold,1,
40,Showcase,1,
41,"Superman's Girl Friend, Lois Lane",3,
42,The Flash,6,
43,Justice League of America,2,
44,Secret Origins,1,
45,80-Page Giant,1,
46,Forever People,13,
47,New Gods,13,
48,Mister Miracle,13,
49,Superman Family,3,
50,Superboy and the Legion of Super-Heroes,3,
51,DC Comics Presents,3,
52,World of Krypton,3,
53,Legion of Super-Heroes,3,
54,Tales of the Green Lantern Corps,7,
55,All-Star Squadron,2,
56,DC Graphic Novel,1,
57,Omega Men,14,
58,Crisis on Infinite Earths,23,
59,The Man of Steel,3,
60,Booster Gold,11,
61,Green Lantern Corps,7,
62,Millennium,22,
63,Young All-Stars,2,
64,Adventures of Superman,3,
65,Cosmic Odyssey,2,
66,The New Guardians,2,
67,Green Lantern: Emerald Dawn,7,
68,Green Lantern Corps Quarterly,7,
69,Jack Kirby's Fourth World,13,
70,Green Lantern 3D,7,
71,Green Lantern/Sentinel: Heart of Darkness,7,
72,Green Lantern 80-Page Giant,7,
73,Green Lantern: The New Corps,7,
74,JSA Returns,2,
75,Green Lantern/Superman: Legend of the Green Flame,7,
76,Green Lantern: Circle of Fire,7,
77,Orion,13,
78,Green Lantern Legacy: The Last Will and Testament of Hal Jordan,7,
79,Green Lantern Rebirth,7,
80,Green Lanterns Corps: Recharge,7,
81,The Flash: The Fastest Man Alive,6,
82,Blackest Night,7,
83,Brightest Day,7,
84,Green Lantern: Emerald Warriors,7,
85,Flashpoint,6,
86,The World of Flashpoint,6,
87,Green Lantern: New Guardians,7,
88,Green Lanterns,7,
89,Hal Jordan and the Green Lantern Corps,7,
90,The Green Lantern,7,
91,Green Lantern: Blackstars,7,
92,Future State: Green Lantern,7,
93,Superman: Son of Kal-El,3,
