volume_id,series_id,volume_num,volume_name,year_start,year_end,fan_vol,num_from,vol_url
1,45,1,,1964,1965,1,,
2,8,1,,1938,2011,1,,
3,8,2,,2011,2016,2,,
4,8,3,,2016,,1,,
5,7,1,,1938,1983,1,93,
6,7,2,,2009,2010,2,,
7,7,3,,2010,2011,1,,
8,64,1,,1987,2006,1,,
9,94,1,,2023,2023,1,,
10,10,1,,1939,1948,1,,
11,17,1,,1941,1947,1,,
12,15,1,,1940,1978,1,,
13,55,1,,1981,1987,1,,
14,16,1,,1940,2011,1,,
15,16,2,,2011,2016,2,,
16,16,3,,2016,,3,,
17,82,1,,2009,2010,1,,
18,12,1,,1939,1950,1,,
19,12,2,,1955,1955,2,,
20,12,3,,1964,1965,3,,
21,12,4,,1965,1966,4,,
22,12,5,,1967,1968,5,,
23,12,6,,1986,1988,6,,
24,12,7,,2006,2009,7,,
25,12,8,,2011,2013,8,,
26,12,9,,2016,2018,9,,
27,12,10,,2023,2024,10,,
28,95,1,,2023,2023,1,,
29,60,1,,1986,1988,1,,
30,60,2,,2007,2011,2,,
31,24,1,,1942,1949,1,,
32,83,1,,2010,2011,1,,
33,20,1,,1941,1953,1,,
34,26,1,,1942,1953,1,,
35,27,1,,1942,1954,1,,
36,65,1,,1988,1989,1,,
37,58,1,,1985,1986,1,,
38,51,1,,1978,1986,1,,
39,56,1,,1983,1986,1,,
40,6,1,,1937,2011,1,,
41,6,2,,2011,2016,2,,
42,6,3,,2016,,1,,
43,13,1,,1940,1949,1,,
44,85,2,,2011,2011,1,,
45,46,1,,1971,1972,1,,
46,46,2,,1988,1988,2,,
47,92,1,,2021,2021,1,,
48,23,1,,1941,1949,1,,
49,23,2,,1960,1986,2,,
50,23,3,,1990,2004,3,,
51,23,4,,2005,2011,4,,
52,23,5,,2011,2016,5,,
53,23,6,,2021,2022,6,,
54,23,7,,2023,,7,,
55,70,1,,1998,1998,1,,
56,72,1,,1998,2000,1,,
57,61,1,,1986,1988,1,,
58,61,2,,2006,2011,2,,
59,61,3,,2011,2015,3,,
60,61,4,,2025,,4,,
61,68,1,,1992,1994,1,,
62,78,1,,2001,2001,1,,
63,79,1,,2005,2005,1,,
64,71,1,,1998,1998,1,,
65,75,1,,2000,2000,1,,
66,91,1,,2020,2020,1,,
67,76,1,,2000,2000,1,,
68,67,1,,1989,1990,1,,
69,67,2,Green Lantern: Emerald Dawn II,1991,1991,1,,
70,84,1,,2010,2011,1,,
71,87,1,,2011,2015,1,,
72,73,1,,1999,1999,1,,
73,88,1,,2016,2018,1,,
74,80,1,,2005,2006,1,,
75,89,1,,2016,2018,1,,
76,31,1,,1945,1947,1,,
77,37,1,,1951,1983,1,,
78,69,1,,1997,1998,1,,
79,74,1,,1999,1999,1,,
80,43,1,,1960,1987,1,,
81,18,1,,1941,1950,1,,
82,53,2,,1979,1987,2,,
83,59,1,,1986,1986,1,,
84,32,1,,1945,1948,1,,
85,62,1,,1987,1988,1,,
86,48,1,,1971,1978,1,,
87,48,2,,1989,1991,2,,
88,48,3,,1996,1996,3,,
89,48,4,,2017,2019,4,,
90,3,1,,1935,1947,1,95,
91,36,1,,1951,1981,1,,
92,9,1,,1939,1942,1,,
93,5,1,,1937,1938,1,94,
94,2,1,,1935,1936,1,,
95,1,1,,1935,1935,1,,
96,47,1,,1971,1978,1,,
97,47,2,,1984,1984,2,,
98,47,3,,1989,1991,3,,
99,47,4,,1995,1997,4,,
100,57,1,,1983,1986,1,,
101,57,2,,2006,2007,2,,
102,57,3,,2015,2016,3,,
103,77,1,,2000,2002,1,,
104,29,1,,1943,1956,1,,
105,29,2,,1966,1977,2,,
106,29,3,,1988,1989,3,,
107,29,4,,2004,2006,4,,
108,29,5,,2018,2019,5,,
109,21,1,,1941,1953,1,,
110,44,1,,1961,1974,1,,
111,44,2,,1986,1990,2,,
112,25,1,,1942,1952,1,,
113,40,1,,1956,1978,1,,
114,19,1,,1941,1952,1,,
115,35,1,,1950,1973,1,,
116,34,1,,1949,1977,1,,
117,50,1,,1976,1979,1,,
118,11,1,,1939,1986,1,,
119,11,2,,1987,2006,2,,
120,11,1.5,,2006,2011,1,,
121,11,3,,2011,2016,3,,
122,11,4,,2016,2018,4,,
123,11,5,,2018,2021,5,,
124,11,6,,2023,,6,,
125,93,1,,2021,2023,1,,
126,41,1,,1958,1974,1,,
127,38,1,,1954,1974,1,,
128,54,1,,1981,1981,1,,
129,30,1,,1944,1944,1,,
130,39,1,,1955,1983,1,,
131,4,1,,1936,1940,1,,
132,42,1,,1959,1985,1,43,
133,42,2,,1987,2009,2,,
134,42,3,,2010,2011,3,,
135,42,4,,2011,2016,4,,
136,42,5,,2016,2020,5,,
137,42,5.5,,2020,2023,1,,
138,42,6,,2023,,6,,
139,81,1,,2006,2007,1,,
140,90,1,The Green Lantern: Season One,2019,2019,1,,
141,90,2,The Green Lantern: Season Two,2020,2021,1,,
142,33,1,,1945,1954,1,,
143,66,1,,1988,1989,1,,
144,49,1,,1974,1982,1,,
145,86,1,,2011,2011,1,,
146,14,1,,1940,1953,1,,
147,28,1,,1942,1986,1,,
148,28,2,,1987,2006,2,,
149,28,3,,2006,2010,3,,
150,28,3.5,,2010,2011,1,,
151,28,4,,2011,2016,4,,
152,28,5,,2016,2020,5,,
153,28,5.5,,2020,2023,1,,
154,28,6,,2023,,6,,
155,52,1,,1979,1979,1,,
156,22,1,World's Finest Comics,1941,1985,1,,
157,63,1,,1987,1989,1,,
158,96,1,,2024,2024,1,,
159,97,1,,2006,2007,1,,
160,98,1,,1998,1998,1,,
161,64,2,,2013,2014,2,,
